No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
476,砂　皇司,まさご,男,火,GK,32,25,5,8,7,4,7,5,7,217,82,37,77,32,71,30,79,34,4,1,1,4,1,4,1,4,1,15,375,ざんぞう,DR,52,25,,ゴッドハンド（山）,CA,48,21,,まぼろしドリブル,DR,65,32,,ギガントウォール,CA,101,50,,ざんぞうゴッドハンド（山）まぼろしドリブルギガントウォール,ざんぞうゴッドハンド（山）まぼろしドリブルギガントウォール,ざんぞうゴッドハンド（山）まぼろしドリブルギガントウォール,ざんぞうゴッドハンド（山）まぼろしドリブルギガントウォール,DRCADRCA,DRCADRCA,DRCADRCA,DRCADRCA
477,森　石松,いしまつ,男,火,GK,58,39,12,13,13,12,12,12,14,169,92,59,56,57,59,58,60,79,1,1,1,1,1,1,1,1,2,24,452,たつまきせんぷう,DR,17,17,,オオウチワ,DR,78,36,,ねっけつヘッド,P1,46,28,一致,ちゃぶだいがえし,P1,76,41,,たつまきせんぷうオオウチワねっけつヘッドちゃぶだいがえし,たつまきせんぷうオオウチワねっけつヘッドちゃぶだいがえし,たつまきせんぷうオオウチワねっけつヘッドちゃぶだいがえし,たつまきせんぷうオオウチワねっけつヘッドちゃぶだいがえし,DRDRP1P1,DRDRP1P1,DRDRP1P1,DRDRP1P1
478,福津　朔也,ふくつ,男,風,MF,26,33,7,7,10,10,11,11,7,112,133,55,56,52,60,64,64,57,5,5,1,1,1,1,2,5,1,23,431,おんりょう,BL,16,17,,のろい,DR,15,17,,どくぎりのじゅつ,DR,24,17,一致,たつまきどくぎり,DR,61,30,,おんりょうのろいどくぎりのじゅつたつまきどくぎり,おんりょうのろいどくぎりのじゅつたつまきどくぎり,おんりょうのろいどくぎりのじゅつたつまきどくぎり,おんりょうのろいどくぎりのじゅつたつまきどくぎり,BLDRDRDR,BLDRDRDR,BLDRDRDR,BLDRDRDR
479,床尾　宗次,そうじ,男,風,FW,58,50,11,10,13,12,14,13,12,167,168,63,64,62,69,60,60,68,4,4,4,4,4,4,4,4,4,20,466,たまのりピエロ,DR,8,15,一致,すいせいシュート,LS,45,36,一致,ムーンサルト,DR,38,22,一致,クロスドライブ,NS,67,33,一致,たまのりピエロすいせいシュートムーンサルトクロスドライブ,たまのりピエロすいせいシュートムーンサルトクロスドライブ,たまのりピエロすいせいシュートムーンサルトクロスドライブ,たまのりピエロすいせいシュートムーンサルトクロスドライブ,DRLSDRNS,DRLSDRNS,DRLSDRNS,DRLSDRNS
480,陸奥　大吾,むつ,男,山,FW,20,32,5,8,6,4,7,4,5,79,186,32,30,79,33,39,36,35,1,4,1,1,4,1,1,1,1,21,305,しこふみ,BL,12,15,一致,ごりむちゅう,DR,49,23,一致,ドこんじょうバット,BS,80,42,,セキュリティショット,NS,82,44,,しこふみごりむちゅうドこんじょうバットセキュリティショット,しこふみごりむちゅうドこんじょうバットセキュリティショット,しこふみごりむちゅうドこんじょうバットセキュリティショット,しこふみごりむちゅうドこんじょうバットセキュリティショット,BLDRBSNS,BLDRBSNS,BLDRBSNS,BLDRBSNS
481,近井　未来,ちかい,男,火,FW,37,36,8,11,6,10,13,14,9,110,138,50,32,31,61,77,58,59,5,5,1,1,5,1,2,5,1,17,385,レインボーループ,LS,70,52,,まぼろしドリブル,DR,65,32,,ヘブンズタイム,DR,94,44,,デュアルストライク,NS,94,53,,レインボーループまぼろしドリブルヘブンズタイムデュアルストライク,レインボーループまぼろしドリブルヘブンズタイムデュアルストライク,レインボーループまぼろしドリブルヘブンズタイムデュアルストライク,レインボーループまぼろしドリブルヘブンズタイムデュアルストライク,LSDRDRNS,LSDRDRNS,LSDRDRNS,LSDRDRNS
482,歌田　澄人,うただ,男,山,MF,31,36,14,14,9,10,9,11,11,121,104,60,62,48,40,47,60,62,1,5,1,1,1,1,1,1,1,15,394,どくぎりのじゅつ,DR,24,17,,ざんぞう,DR,52,25,,ぶんしんシュート,NS,89,51,,まぼろしドリブル,DR,65,32,,どくぎりのじゅつざんぞうぶんしんシュートまぼろしドリブル,どくぎりのじゅつざんぞうぶんしんシュートまぼろしドリブル,どくぎりのじゅつざんぞうぶんしんシュートまぼろしドリブル,どくぎりのじゅつざんぞうぶんしんシュートまぼろしドリブル,DRDRNSDR,DRDRNSDR,DRDRNSDR,DRDRNSDR
483,雪山　岳治,ゆきやま,男,林,FW,55,66,10,13,12,11,12,10,13,191,152,68,56,61,60,55,69,57,4,4,4,4,4,4,4,4,4,23,449,サイコショット,NS,31,20,一致,イリュージョンボール,DR,47,23,一致,ぶんしんディフェンス,BL,73,36,一致,フリーズショット,NS,67,33,一致,サイコショットイリュージョンボールぶんしんディフェンスフリーズショット,サイコショットイリュージョンボールぶんしんディフェンスフリーズショット,サイコショットイリュージョンボールぶんしんディフェンスフリーズショット,サイコショットイリュージョンボールぶんしんディフェンスフリーズショット,NSDRBLNS,NSDRBLNS,NSDRBLNS,NSDRBLNS
484,猫野　亮太,ねこの,男,風,MF,55,59,11,10,18,13,18,14,10,143,150,54,60,71,63,71,61,59,1,1,1,5,1,5,1,1,1,21,460,ホーントレイン,BB,16,17,,ヒートタックル,DR,47,23,,ダイナマイトシュート,NS,70,35,,フレイムダンス,BL,62,32,,ホーントレインヒートタックルダイナマイトシュートフレイムダンス,ホーントレインヒートタックルダイナマイトシュートフレイムダンス,ホーントレインヒートタックルダイナマイトシュートフレイムダンス,ホーントレインヒートタックルダイナマイトシュートフレイムダンス,BBDRNSBL,BBDRNSBL,BBDRNSBL,BBDRNSBL
485,戌井　太郎,いぬい,男,火,DF,39,42,11,8,7,11,8,9,7,217,126,50,43,40,44,71,79,68,5,1,1,1,1,1,1,2,1,20,415,ホーントレイン,BB,16,17,,ヒートタックル,DR,47,23,一致,ダブルグレネード,NS,70,35,一致,フレイムダンス,BL,62,32,一致,ホーントレインヒートタックルダブルグレネードフレイムダンス,ホーントレインヒートタックルダブルグレネードフレイムダンス,ホーントレインヒートタックルダブルグレネードフレイムダンス,ホーントレインヒートタックルダブルグレネードフレイムダンス,BBDRNSBL,BBDRNSBL,BBDRNSBL,BBDRNSBL
486,末野　紅,すえの,男,火,DF,36,43,8,9,7,11,17,10,8,132,134,48,33,38,56,67,55,58,5,5,1,1,5,1,2,5,1,17,372,フェイクボール,BL,46,25,,スーパースキャン（Ｄ）,DR,38,22,,スーパースキャン（Ｂ）,BL,39,23,,フェイクボンバー,BL,56,30,一致,フェイクボールスーパースキャン（Ｄ）スーパースキャン（Ｂ）フェイクボンバー,フェイクボールスーパースキャン（Ｄ）スーパースキャン（Ｂ）フェイクボンバー,フェイクボールスーパースキャン（Ｄ）スーパースキャン（Ｂ）フェイクボンバー,フェイクボールスーパースキャン（Ｄ）スーパースキャン（Ｂ）フェイクボンバー,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
487,海東　衛,かいとう,男,火,GK,48,66,12,13,16,17,15,15,14,143,149,68,69,71,64,64,64,60,5,1,2,4,4,4,4,4,4,21,481,こがらし,CA,41,27,,つむじ,CA,61,34,,クンフーアタック,BS,78,42,,ちゃぶだいがえし,P1,76,41,,こがらしつむじクンフーアタックちゃぶだいがえし,こがらしつむじクンフーアタックちゃぶだいがえし,こがらしつむじクンフーアタックちゃぶだいがえし,こがらしつむじクンフーアタックちゃぶだいがえし,CACABSP1,CACABSP1,CACABSP1,CACABSP1
488,中村　夢千代,ゆめちよ,男,林,MF,51,55,12,13,14,14,12,14,12,160,138,55,71,75,56,58,63,56,1,1,1,1,1,1,1,1,1,33,467,うしろのしょうめん,BL,41,17,,ジャッジスルー,DR,63,22,,さばきのてっつい,BB,80,38,,ジャッジスルー２,DR,96,33,,うしろのしょうめんジャッジスルーさばきのてっついジャッジスルー２,うしろのしょうめんジャッジスルーさばきのてっついジャッジスルー２,うしろのしょうめんジャッジスルーさばきのてっついジャッジスルー２,うしろのしょうめんジャッジスルーさばきのてっついジャッジスルー２,BLDRBBDR,BLDRBBDR,BLDRBBDR,BLDRBBDR
489,上杉　謙吾,うえすぎ,男,山,FW,32,50,11,10,13,14,12,17,9,81,144,60,67,40,66,60,68,55,1,1,1,5,1,5,1,1,1,15,431,つちだるま,NS,58,24,一致,たつまきせんぷう,DR,17,17,,どくぎりのじゅつ,DR,24,17,,たつまきどくぎり,DR,61,30,,つちだるまたつまきせんぷうどくぎりのじゅつたつまきどくぎり,つちだるまたつまきせんぷうどくぎりのじゅつたつまきどくぎり,つちだるまたつまきせんぷうどくぎりのじゅつたつまきどくぎり,つちだるまたつまきせんぷうどくぎりのじゅつたつまきどくぎり,NSDRDRDR,NSDRDRDR,NSDRDRDR,NSDRDRDR
490,江古　貴生,エコ,男,林,FW,60,74,17,13,17,16,17,14,13,169,142,53,60,62,58,52,61,54,2,2,2,2,2,2,2,2,2,10,410,ローリングキック,NS,22,17,一致,マジック,DR,22,17,一致,くものいと,BL,56,30,一致,にひゃくれつショット,BS,87,51,一致,ローリングキックマジックくものいとにひゃくれつショット,ローリングキックマジックくものいとにひゃくれつショット,ローリングキックマジックくものいとにひゃくれつショット,ローリングキックマジックくものいとにひゃくれつショット,NSDRBLBS,NSDRBLBS,NSDRBLBS,NSDRBLBS
491,土方　歳,ひじかた,男,風,DF,70,80,14,16,14,16,15,16,13,182,178,61,61,68,69,60,70,65,4,4,4,4,4,4,4,4,4,19,473,イケメンＵＰ！,SK,0,0,,アイスグランド,BL,44,25,一致,カマイタチ,DR,61,30,一致,シューティングスター,BB,84,40,,イケメンＵＰ！アイスグランドカマイタチシューティングスター,イケメンＵＰ！アイスグランドカマイタチシューティングスター,イケメンＵＰ！アイスグランドカマイタチシューティングスター,イケメンＵＰ！アイスグランドカマイタチシューティングスター,SKBLDRBB,SKBLDRBB,SKBLDRBB,SKBLDRBB
492,豊臣　秀紀,とよとみ,男,山,FW,44,73,7,9,10,14,7,11,7,121,166,55,71,59,64,57,58,55,1,1,1,5,1,5,1,1,1,27,446,すいせいシュート,LS,45,36,,アイスグランド,BL,44,25,,フリーズショット,NS,67,33,,オーロラドリブル,DR,67,32,,すいせいシュートアイスグランドフリーズショットオーロラドリブル,すいせいシュートアイスグランドフリーズショットオーロラドリブル,すいせいシュートアイスグランドフリーズショットオーロラドリブル,すいせいシュートアイスグランドフリーズショットオーロラドリブル,LSBLNSDR,LSBLNSDR,LSBLNSDR,LSBLNSDR
493,平賀　源,ひらが,男,火,GK,32,48,6,6,17,4,8,5,6,134,198,32,46,72,29,51,40,51,4,1,1,2,2,5,1,4,1,9,330,タフネスブロック,CA,10,17,,しこふみ,BL,12,15,,フルパワーシールド,P1,61,34,一致,スーパーしこふみ,BB,44,25,一致,タフネスブロックしこふみフルパワーシールドスーパーしこふみ,タフネスブロックしこふみフルパワーシールドスーパーしこふみ,タフネスブロックしこふみフルパワーシールドスーパーしこふみ,タフネスブロックしこふみフルパワーシールドスーパーしこふみ,CABLP1BB,CABLP1BB,CABLP1BB,CABLP1BB
494,岩永　鉱介,いわなが,男,火,DF,31,73,10,10,17,8,9,10,8,147,170,40,56,69,40,63,53,53,4,1,1,2,2,5,1,4,1,15,389,フェイクボール,BL,46,25,,モグラフェイント,DR,61,30,,シューティングスター,BB,84,40,一致,オオウチワ,DR,78,36,,フェイクボールモグラフェイントシューティングスターオオウチワ,フェイクボールモグラフェイントシューティングスターオオウチワ,フェイクボールモグラフェイントシューティングスターオオウチワ,フェイクボールモグラフェイントシューティングスターオオウチワ,BLDRBBDR,BLDRBBDR,BLDRBBDR,BLDRBBDR
495,白菊　悠人,しらぎく,男,風,FW,46,39,14,11,8,7,7,11,10,123,100,62,56,40,51,40,57,52,1,5,1,1,1,1,1,1,1,32,390,スピニングシュート,NS,24,17,一致,ブレードアタック,BL,39,23,一致,カマイタチ,DR,61,30,一致,ダブルグレネード,NS,70,35,,スピニングシュートブレードアタックカマイタチダブルグレネード,スピニングシュートブレードアタックカマイタチダブルグレネード,スピニングシュートブレードアタックカマイタチダブルグレネード,スピニングシュートブレードアタックカマイタチダブルグレネード,NSBLDRNS,NSBLDRNS,NSBLDRNS,NSBLDRNS
496,宝田　中,あたる,男,林,MF,45,40,15,8,13,16,11,10,9,107,154,62,59,56,52,63,68,60,5,1,2,1,1,2,5,2,1,14,434,ホーントレイン,BB,16,17,,たつまきせんぷう,DR,17,17,,ぶんしんディフェンス,BL,73,36,一致,ぶんしんフェイント,DR,76,36,一致,ホーントレインたつまきせんぷうぶんしんディフェンスぶんしんフェイント,ホーントレインたつまきせんぷうぶんしんディフェンスぶんしんフェイント,ホーントレインたつまきせんぷうぶんしんディフェンスぶんしんフェイント,ホーントレインたつまきせんぷうぶんしんディフェンスぶんしんフェイント,BBDRBLDR,BBDRBLDR,BBDRBLDR,BBDRBLDR
497,鍋山　海人,なべ,男,火,GK,55,77,14,17,15,14,17,15,14,151,144,56,53,62,56,63,60,58,2,2,2,2,2,2,2,2,2,8,416,ねっけつパンチ,P1,8,17,一致,ロケットこぶし,P1,41,27,一致,ボルケイノカット,BB,73,36,一致,ダブルロケット,P1,90,48,一致,ねっけつパンチロケットこぶしボルケイノカットダブルロケット,ねっけつパンチロケットこぶしボルケイノカットダブルロケット,ねっけつパンチロケットこぶしボルケイノカットダブルロケット,ねっけつパンチロケットこぶしボルケイノカットダブルロケット,P1P1BBP1,P1P1BBP1,P1P1BBP1,P1P1BBP1
498,響　恭一,きょういち,男,火,DF,36,50,15,8,13,14,7,10,8,92,158,63,55,56,60,63,64,57,5,1,2,1,1,2,5,2,1,17,435,キラースライド,BL,8,10,,フェイクボンバー,BL,56,30,一致,どくぎりのじゅつ,DR,24,17,,モグラシャッフル,DR,83,38,,キラースライドフェイクボンバーどくぎりのじゅつモグラシャッフル,キラースライドフェイクボンバーどくぎりのじゅつモグラシャッフル,キラースライドフェイクボンバーどくぎりのじゅつモグラシャッフル,キラースライドフェイクボンバーどくぎりのじゅつモグラシャッフル,BLBLDRDR,BLBLDRDR,BLBLDRDR,BLBLDRDR
499,幸田　大吉,だいきち,男,風,FW,21,50,7,9,14,14,13,14,11,83,138,62,60,40,68,52,69,52,1,1,1,5,1,5,1,1,1,14,417,すいせいシュート,LS,45,36,一致,ジグザグスパーク,DR,47,23,一致,シューティングスター,BB,84,40,,デュアルストライク,NS,94,53,,すいせいシュートジグザグスパークシューティングスターデュアルストライク,すいせいシュートジグザグスパークシューティングスターデュアルストライク,すいせいシュートジグザグスパークシューティングスターデュアルストライク,すいせいシュートジグザグスパークシューティングスターデュアルストライク,LSDRBBNS,LSDRBBNS,LSDRBBNS,LSDRBBNS
500,福岡　武雄,ふくおか,男,火,MF,32,27,17,12,10,8,9,11,8,118,104,63,54,44,44,41,55,56,1,5,1,1,1,1,1,1,1,14,371,フーセンガム,DR,38,22,一致,フェイクボンバー,BL,56,30,一致,トカチェフボンバー,NS,80,42,,ヘブンズタイム,DR,94,44,,フーセンガムフェイクボンバートカチェフボンバーヘブンズタイム,フーセンガムフェイクボンバートカチェフボンバーヘブンズタイム,フーセンガムフェイクボンバートカチェフボンバーヘブンズタイム,フーセンガムフェイクボンバートカチェフボンバーヘブンズタイム,DRBLNSDR,DRBLNSDR,DRBLNSDR,DRBLNSDR
501,鮫島　嵐人,さめじま,男,火,GK,19,35,14,12,12,12,12,4,14,88,92,71,77,69,71,78,28,70,1,1,2,2,2,2,2,1,2,20,484,ホーントレイン,BB,16,17,,ワイルドクロー,CA,41,27,,ばくれつパンチ,P1,67,36,一致,ダブルサイクロン,BL,84,40,,ホーントレインワイルドクローばくれつパンチダブルサイクロン,ホーントレインワイルドクローばくれつパンチダブルサイクロン,ホーントレインワイルドクローばくれつパンチダブルサイクロン,ホーントレインワイルドクローばくれつパンチダブルサイクロン,BBCAP1BL,BBCAP1BL,BBCAP1BL,BBCAP1BL
502,尾泉　平介,おいずみ,男,林,DF,40,50,14,11,13,15,10,11,11,94,158,66,53,60,52,59,60,53,5,1,2,1,1,2,5,2,1,17,420,ドッペルゲンガー,BL,16,17,一致,マジック,DR,22,17,一致,かげぬい,BL,64,32,一致,とうめいフェイント,DR,76,36,,ドッペルゲンガーマジックかげぬいとうめいフェイント,ドッペルゲンガーマジックかげぬいとうめいフェイント,ドッペルゲンガーマジックかげぬいとうめいフェイント,ドッペルゲンガーマジックかげぬいとうめいフェイント,BLDRBLDR,BLDRBLDR,BLDRBLDR,BLDRBLDR
503,黄金　丸雄,こがね,男,山,DF,31,35,13,8,11,8,15,12,9,94,138,49,59,55,52,71,59,59,5,5,1,1,1,1,2,5,1,16,420,しこふみ,BL,12,15,一致,ジャイアントスピン,BB,14,17,,ザ・ウォール,BB,48,25,一致,ボディシールド,BL,115,50,一致,しこふみジャイアントスピンザ・ウォールボディシールド,しこふみジャイアントスピンザ・ウォールボディシールド,しこふみジャイアントスピンザ・ウォールボディシールド,しこふみジャイアントスピンザ・ウォールボディシールド,BLBBBBBL,BLBBBBBL,BLBBBBBL,BLBBBBBL
504,飛龍　仁,ひりゅう,男,林,MF,37,89,7,9,9,15,9,11,9,138,176,62,70,63,71,53,55,60,1,1,1,5,1,5,1,1,1,34,468,どくぎりのじゅつ,DR,24,17,,うしろのしょうめん,BL,41,17,,たつまきどくぎり,DR,61,30,一致,ファントムシュート,NS,43,24,一致,どくぎりのじゅつうしろのしょうめんたつまきどくぎりファントムシュート,どくぎりのじゅつうしろのしょうめんたつまきどくぎりファントムシュート,どくぎりのじゅつうしろのしょうめんたつまきどくぎりファントムシュート,どくぎりのじゅつうしろのしょうめんたつまきどくぎりファントムシュート,DRBLDRNS,DRBLDRNS,DRBLDRNS,DRBLDRNS
505,寺野　竜,てらの,男,風,GK,46,70,10,10,16,11,11,11,9,154,165,44,52,66,48,60,52,60,4,1,1,2,2,5,1,4,1,15,397,ねっけつパンチ,P1,8,17,,スピニングカット,BB,58,30,一致,ばくれつパンチ,P1,67,36,,トリプルディフェンス,CA,97,50,,ねっけつパンチスピニングカットばくれつパンチトリプルディフェンス,ねっけつパンチスピニングカットばくれつパンチトリプルディフェンス,ねっけつパンチスピニングカットばくれつパンチトリプルディフェンス,ねっけつパンチスピニングカットばくれつパンチトリプルディフェンス,P1BBP1CA,P1BBP1CA,P1BBP1CA,P1BBP1CA
506,器島　改太,きじま,男,火,MF,33,25,9,7,8,6,12,10,6,92,115,32,45,51,44,53,50,44,5,5,1,1,1,1,2,5,1,39,358,ひとりワンツー,DR,17,17,一致,コンドルダイブ,NS,58,24,,ホークショット,BS,78,34,,イーグルバスター,LS,108,74,,ひとりワンツーコンドルダイブホークショットイーグルバスター,ひとりワンツーコンドルダイブホークショットイーグルバスター,ひとりワンツーコンドルダイブホークショットイーグルバスター,ひとりワンツーコンドルダイブホークショットイーグルバスター,DRNSBSLS,DRNSBSLS,DRNSBSLS,DRNSBSLS
507,納屋　粘,なや,男,林,GK,30,58,10,10,14,17,14,13,7,99,130,52,64,42,70,53,61,59,1,1,1,5,1,5,1,1,1,15,416,おんりょう,BL,16,17,一致,ゆがむくうかん,CA,15,19,一致,かげぬい,BL,64,32,一致,オーロラカーテン,CA,65,36,,おんりょうゆがむくうかんかげぬいオーロラカーテン,おんりょうゆがむくうかんかげぬいオーロラカーテン,おんりょうゆがむくうかんかげぬいオーロラカーテン,おんりょうゆがむくうかんかげぬいオーロラカーテン,BLCABLCA,BLCABLCA,BLCABLCA,BLCABLCA
508,形　創,かた,男,山,FW,75,46,16,10,12,13,10,8,10,209,154,63,61,61,62,36,65,52,5,1,2,1,1,2,5,2,1,20,420,スーパーしこふみ,BB,44,25,,ひゃくれつショット,NS,58,24,,にひゃくれつショット,BS,87,51,,じごくぐるま,DR,85,38,一致,スーパーしこふみひゃくれつショットにひゃくれつショットじごくぐるま,スーパーしこふみひゃくれつショットにひゃくれつショットじごくぐるま,スーパーしこふみひゃくれつショットにひゃくれつショットじごくぐるま,スーパーしこふみひゃくれつショットにひゃくれつショットじごくぐるま,BBNSBSDR,BBNSBSDR,BBNSBSDR,BBNSBSDR
509,矢地　伊久夫,やじ,男,風,DF,42,20,15,12,8,9,11,9,10,125,120,56,58,48,40,47,63,62,1,5,1,1,1,1,1,1,1,15,389,ドッペルゲンガー,BL,16,17,,くものいと,BL,56,30,,たつまきどくぎり,DR,61,30,,デュアルパス,DR,94,44,,ドッペルゲンガーくものいとたつまきどくぎりデュアルパス,ドッペルゲンガーくものいとたつまきどくぎりデュアルパス,ドッペルゲンガーくものいとたつまきどくぎりデュアルパス,ドッペルゲンガーくものいとたつまきどくぎりデュアルパス,BLBLDRDR,BLBLDRDR,BLBLDRDR,BLBLDRDR
510,汐崎　怜央,しおざき,男,風,GK,20,43,10,8,8,10,17,12,9,103,132,43,52,60,60,60,56,52,5,5,1,1,1,1,2,5,1,16,399,スワンダイブ,CA,10,17,一致,ゴールずらし,CA,63,34,,サイクロン,BL,64,32,一致,ダブルサイクロン,BL,84,40,一致,スワンダイブゴールずらしサイクロンダブルサイクロン,スワンダイブゴールずらしサイクロンダブルサイクロン,スワンダイブゴールずらしサイクロンダブルサイクロン,スワンダイブゴールずらしサイクロンダブルサイクロン,CACABLBL,CACABLBL,CACABLBL,CACABLBL
511,地内　雅彦,ちうち,男,山,MF,46,43,8,10,20,8,9,8,9,167,138,51,60,62,45,52,60,57,4,1,1,2,2,5,1,4,1,30,417,ホーントレイン,BB,16,17,一致,じごくぐるま,DR,85,38,一致,リフレクトバスター,NS,94,40,一致,ノーエスケイプ,BL,97,44,一致,ホーントレインじごくぐるまリフレクトバスターノーエスケイプ,ホーントレインじごくぐるまリフレクトバスターノーエスケイプ,ホーントレインじごくぐるまリフレクトバスターノーエスケイプ,ホーントレインじごくぐるまリフレクトバスターノーエスケイプ,BBDRNSBL,BBDRNSBL,BBDRNSBL,BBDRNSBL
512,風切　彰,かざきり,男,風,DF,32,40,8,11,6,10,13,12,8,145,137,48,48,45,60,68,52,54,5,5,1,1,5,1,2,5,1,19,394,クイックドロウ,BL,8,15,,サイクロン,BL,64,32,一致,ジグザグスパーク,DR,47,23,一致,ボルケイノカット,BB,73,36,,クイックドロウサイクロンジグザグスパークボルケイノカット,クイックドロウサイクロンジグザグスパークボルケイノカット,クイックドロウサイクロンジグザグスパークボルケイノカット,クイックドロウサイクロンジグザグスパークボルケイノカット,BLBLDRBB,BLBLDRBB,BLBLDRBB,BLBLDRBB
513,赤江　王星,あかえ,男,火,DF,19,63,7,11,10,17,11,17,11,94,148,61,62,50,69,54,64,57,1,1,1,5,1,5,1,1,1,22,439,スーパースキャン（Ｂ）,BL,39,23,,スーパースキャン（Ｄ）,DR,38,22,,アルマジロサーカス,DR,83,38,一致,ブロックサーカス,BL,84,40,,スーパースキャン（Ｂ）スーパースキャン（Ｄ）アルマジロサーカスブロックサーカス,スーパースキャン（Ｂ）スーパースキャン（Ｄ）アルマジロサーカスブロックサーカス,スーパースキャン（Ｂ）スーパースキャン（Ｄ）アルマジロサーカスブロックサーカス,スーパースキャン（Ｂ）スーパースキャン（Ｄ）アルマジロサーカスブロックサーカス,BLDRDRBL,BLDRDRBL,BLDRDRBL,BLDRDRBL
514,牧場　羊一,まきば,男,林,MF,62,66,15,15,16,15,17,15,14,162,152,52,60,56,53,62,58,56,2,2,2,2,2,2,2,2,2,14,411,マジック,DR,22,17,一致,スピニングカット,BB,58,30,,オーロラドリブル,DR,67,32,,さばきのてっつい,BB,80,38,,マジックスピニングカットオーロラドリブルさばきのてっつい,マジックスピニングカットオーロラドリブルさばきのてっつい,マジックスピニングカットオーロラドリブルさばきのてっつい,マジックスピニングカットオーロラドリブルさばきのてっつい,DRBBDRBB,DRBBDRBB,DRBBDRBB,DRBBDRBB
515,橘花　直弘,きっか,男,風,GK,34,53,8,11,7,8,12,14,9,83,156,48,52,58,59,74,66,57,5,5,1,1,1,1,2,5,1,28,442,トルネードキャッチ,CA,13,19,一致,こがらし,CA,41,27,一致,サイクロン,BL,64,32,一致,プロファイルゾーン,BL,73,36,一致,トルネードキャッチこがらしサイクロンプロファイルゾーン,トルネードキャッチこがらしサイクロンプロファイルゾーン,トルネードキャッチこがらしサイクロンプロファイルゾーン,トルネードキャッチこがらしサイクロンプロファイルゾーン,CACABLBL,CACABLBL,CACABLBL,CACABLBL
516,水草　陽之,みずくさ,男,風,FW,43,48,8,8,10,13,8,10,10,114,196,54,61,55,63,61,59,59,1,1,1,5,1,5,1,1,1,21,433,ローリングキック,NS,22,17,,コイルターン,BL,8,15,一致,ムーンサルト,DR,38,22,一致,アサルトシュート,LS,94,64,,ローリングキックコイルターンムーンサルトアサルトシュート,ローリングキックコイルターンムーンサルトアサルトシュート,ローリングキックコイルターンムーンサルトアサルトシュート,ローリングキックコイルターンムーンサルトアサルトシュート,NSBLDRLS,NSBLDRLS,NSBLDRLS,NSBLDRLS
517,安倍　晴昭,あべ,男,林,DF,55,76,16,16,13,14,17,13,17,171,156,52,53,53,59,53,63,62,2,2,2,2,2,2,2,2,2,16,411,クイックドロウ,BL,8,15,一致,かげぬい,BL,64,32,一致,れっぷうダッシュ,DR,74,36,,シューティングスター,BB,84,40,,クイックドロウかげぬいれっぷうダッシュシューティングスター,クイックドロウかげぬいれっぷうダッシュシューティングスター,クイックドロウかげぬいれっぷうダッシュシューティングスター,クイックドロウかげぬいれっぷうダッシュシューティングスター,BLBLDRBB,BLBLDRBB,BLBLDRBB,BLBLDRBB
518,恵比寿原　始,はじめ,男,山,DF,42,51,10,13,11,14,14,12,12,147,130,52,56,58,54,61,53,63,2,2,2,2,2,2,2,2,2,42,439,うしろのしょうめん,BL,41,17,一致,ごりむちゅう,DR,49,23,一致,ニニンサンキャク,DR,94,44,一致,しこふみ,BL,12,15,,うしろのしょうめんごりむちゅうニニンサンキャクしこふみ,うしろのしょうめんごりむちゅうニニンサンキャクしこふみ,うしろのしょうめんごりむちゅうニニンサンキャクしこふみ,うしろのしょうめんごりむちゅうニニンサンキャクしこふみ,BLDRDRBL,BLDRDRBL,BLDRDRBL,BLDRDRBL
519,与木　奏,よぎ,男,火,FW,37,47,17,11,11,17,9,9,8,125,153,69,59,57,54,53,62,61,5,1,2,1,1,2,5,2,1,22,437,グレネードショット,NS,24,17,一致,ひとりワンツー,DR,17,17,一致,パトリオットシュート,LS,69,50,一致,シャインドライブ,NS,78,42,一致,グレネードショットひとりワンツーパトリオットシュートシャインドライブ,グレネードショットひとりワンツーパトリオットシュートシャインドライブ,グレネードショットひとりワンツーパトリオットシュートシャインドライブ,グレネードショットひとりワンツーパトリオットシュートシャインドライブ,NSDRLSNS,NSDRLSNS,NSDRLSNS,NSDRLSNS
520,雲野　久斗,うんの,男,林,DF,31,48,13,9,14,16,9,7,10,88,150,66,52,52,54,61,65,56,5,1,2,1,1,2,5,2,1,22,428,キラースライド,BL,8,10,一致,ボルケイノカット,BB,73,36,,ジャッジスルー,DR,63,22,,ジャッジスルー２,DR,96,33,,キラースライドボルケイノカットジャッジスルージャッジスルー２,キラースライドボルケイノカットジャッジスルージャッジスルー２,キラースライドボルケイノカットジャッジスルージャッジスルー２,キラースライドボルケイノカットジャッジスルージャッジスルー２,BLBBDRDR,BLBBDRDR,BLBBDRDR,BLBBDRDR
