No,Name,NickName,GENDER,ELEMENT,POSITION,ROLE,AGE_GROUP,SCHOOL_YEAR,TEAM,OBTAIN,IE1,IE2,IE3,GO1,GO2,GO3,ARS,ORI,VIC,KICK,CONTROL,TECHNIQUE,PRESSURE,PHYSICAL,AGILITY,INTELLIGENCE,SHOT,FOCUS(AT),FOCUS(DF),SCRAMBLE(AT),SCRAMBLE(DF),SHOT_BLOCK,KEEPER_POWER
997,若杉 洋,若杉,男,林,FW,選手,中学生,三年生,無所属,ハンバーグやオムレツといった昔ながらの洋食が大好き。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
998,塩田 道之介,塩田,男,風,MF,選手,中学生,一年生,無所属,いろんな道路の写真を撮るのが趣味。国道を全部撮るのが夢。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
999,外山 大樹,外山,男,山,MF,選手,中学生,一年生,無所属,ネクタイの結び方に詳しいが中学生では活用の場がない。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1000,西谷 研二,西谷,男,林,FW,選手,中学生,一年生,無所属,エリートを育成するスパルタ学校から逃げるように転校してきた。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1001,池州 宗彦,池州,男,火,GK,選手,中学生,一年生,無所属,自宅の池を　いけす代わりにして魚を育てている。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1002,請川 渡志,請川,男,風,DF,選手,中学生,三年生,無所属,マルチタレントに憧れていて芸をみんなに見せているが　全然ウケない。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1003,早津 愛輝,早津,男,火,DF,選手,中学生,三年生,無所属,タロット占いを信じていて運勢が悪いと　試合に出たがらない。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1004,角 努,角,男,火,DF,選手,中学生,二年生,無所属,キャンプファイアが大好きで場所を考えずに　すぐたき火をしてしまう。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1005,中館 ヒロ,中館,男,林,FW,選手,中学生,二年生,無所属,ファミレスで　いつもコーヒー１杯で粘って本を読んでいる。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1006,今井 扶樹,今井,男,風,FW,選手,中学生,三年生,無所属,昔　バレー部にいたためについ　サッカーでも手を使ってしまう。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
1007,塗谷 貞哉,塗谷,男,林,MF,選手,中学生,三年生,無所属,カラフルなコーディネートが大好き。でも７色ユニフォームは　やりすぎ。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1008,大和田 隆太,大和田,男,火,DF,選手,中学生,一年生,無所属,ＳＬが大好きでほとんどのＳＬに乗っている。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1009,幸原 一徳,一徳,男,林,FW,選手,中学生,三年生,無所属,いつもツイているラッキーマン。でも本人に　その自覚はない。,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
1010,大崎 練,大崎,男,火,GK,選手,中学生,二年生,無所属,体力をつけるためにかなりハードな特訓をしていることで有名。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
1011,騎藤 瞬士,騎藤,男,山,DF,選手,中学生,二年生,無所属,騎士道に憧れているというがそれが何かは　あまり知らない。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1012,島袋 誠治,島袋,男,火,GK,選手,中学生,二年生,無所属,大人が嫌いで　少しでも大人になるのが遅れるように祈っている。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
1013,松本 はやと,はやと,男,林,GK,選手,中学生,三年生,無所属,戦闘機が大好きで航空ショーに　写真を撮りに行くのが楽しみ。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
1014,夕霧 爽也,夕霧,男,山,DF,選手,中学生,一年生,無所属,すばらしい夕焼けスポットを求めてあちこち回っている。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1015,渡辺 映宏,渡辺,男,山,MF,選手,中学生,二年生,無所属,ドキュメンタリー映画を作っていてサッカー部の活躍に目を付けている。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1016,赤羽 隼士,赤羽,男,山,DF,選手,中学生,三年生,無所属,スポーツ万能すぎてどのスポーツも　真剣に続けられない。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1017,乗松 響平,乗松,男,火,GK,選手,中学生,二年生,無所属,人の話に振り回されやすくてすぐに　おだてられてしまう困った性格。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
1018,馬場 信輔,馬場,男,山,DF,選手,中学生,二年生,無所属,休みの日には乗馬を楽しみ騎手になることを目指している。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1019,旅本 明宏,旅本,男,風,GK,選手,中学生,一年生,無所属,学校の生活はワンパターンで面白くないと思っている。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1020,加持 徹,加持,男,林,FW,選手,中学生,二年生,無所属,今でも紙芝居が大好きで自分でも　たまに描いてみている。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1021,上条 時生,時生,男,山,GK,選手,中学生,二年生,無所属,タイムマシンを何とか創りたいと真剣に　いろいろ研究している。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1022,門上 捻治,門上,男,山,FW,選手,中学生,一年生,無所属,アウトローだがサッカーを愛している。でも　根はとてもいいヤツ。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1023,西原 裕次郎,西原,男,風,MF,選手,中学生,二年生,無所属,肌の手入れに　やたらこだわっていてニキビ１つ見つかっただけで大騒ぎ。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1024,山道 大樹,山道,男,火,GK,選手,中学生,三年生,無所属,マウンテンバイクに夢中で週末は　あちこち走り回っている。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1025,西部 鷹也,せいぶ,男,風,DF,選手,中学生,二年生,無所属,西部劇に憧れて毎日　早撃ちの練習をしている。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1026,鼻本 丈雄,鼻本,男,林,DF,選手,中学生,一年生,無所属,ウソをつくと　鼻がひくひくと動くのですぐ　みんなにバレてしまう。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1027,藤村 刃,藤村,男,山,FW,選手,中学生,一年生,無所属,インラインスケートの名手で学校の行き帰りも　シューズを履いている。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1028,大林 たかお,大林,男,山,MF,選手,中学生,二年生,無所属,行方不明の母を探すため有名になろうと　がんばっている。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1029,板橋 真,板橋,男,山,FW,選手,中学生,三年生,無所属,とにかく無口で　仲間ともなかなか打ち解けようとしない。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1030,宇賀 士郎,宇賀,男,林,DF,選手,中学生,三年生,無所属,くしゃみをし出すと止まらなくなる。試合中に出ないことを祈ろう…。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1031,沢村 瞬,沢村,男,火,FW,選手,中学生,二年生,無所属,昔　サッカーでレギュラーになれなかった苦い思い出があり　やる気が出ない。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1032,八田 秀隆,八田,男,山,DF,選手,中学生,二年生,無所属,ロックバンドの楽器やスタジオ代を稼ぐために　いつも節約している。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1033,氷山 有起哉,氷山,男,火,FW,選手,中学生,一年生,無所属,かき氷が好物で一年中　山盛りに作って食べている。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1034,森田 英雄,えいゆう,男,風,MF,選手,中学生,二年生,無所属,どうやったら自分がヒーローになれるか毎日　真面目に考えている。,○,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
1035,大将 拳,大将,男,林,FW,選手,中学生,二年生,無所属,昔は１００人の子分がいたというガキ大将。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1036,藤崎 三省,藤崎,男,風,DF,選手,中学生,二年生,無所属,ライバルチームのマネージャーを好きになってしまい　悩んでいる。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1037,帆市 輝明,スター,男,林,MF,選手,中学生,一年生,無所属,雷門中で　自分が一番輝いていると思っているナルシスト。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1038,号田 具流,ゴーグル,男,風,FW,選手,中学生,二年生,無所属,鬼道に憧れて　ゴーグルをつけているが実力は…？,○,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
1039,勝喜 快翔,カイト,男,林,MF,選手,中学生,三年生,無所属,すばやい動きで相手を翻弄。紫苑の閃光と呼ばれている。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1040,空野 ルイ,クール,男,火,DF,選手,中学生,三年生,無所属,真顔でウソをつく。クールなそぶりに　ごまかされるな！,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1041,自亜 米佳,マイカ,男,火,MF,選手,中学生,二年生,無所属,日本で生まれたと言い張るが親に聞いても　はぐらかされるらしい。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1042,車谷 曲男,くるるん,男,林,DF,選手,中学生,二年生,無所属,マゲを切る時　とびきり盛大な断髪式を行いたいらしい。,○,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1043,阿後 大三,あごん,男,火,MF,選手,中学生,一年生,無所属,足で蹴るよりも　アゴを使いたいというアゴに自信のある選手。,○,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1044,木田 悠翔,ユウト,男,林,GK,選手,中学生,二年生,無所属,臆病そうに見えて実は相当　計算高い頭脳派。,○,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1045,波 乗輔,なみのり,男,山,DF,選手,中学生,二年生,無所属,波に乗りながらリフティングできる超人的なスポーツマン。,○,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1046,駒込 豆太,こままめ,男,火,FW,選手,中学生,二年生,無所属,諦めないのが唯一の信条。頼れる小さなナイスガイ。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1047,紫電 戒,シデン,男,風,GK,選手,中学生,二年生,無所属,スポーツ万能だが　自分を夢中にさせるヤツがいないと言って何もしていない。,○,○,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
1048,彦 牽牛,ヒコ,男,風,FW,選手,中学生,三年生,無所属,ある女の子に片思い中。でも　年に１回しか会えない。,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1049,幸田 大吉,大吉,男,風,FW,選手,中学生,三年生,無所属,運動はダメだけど　運はすごくいい。チームに幸運を分けてくれるかも？,○,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1050,闇野 カゲト,シャドウ,男,林,FW,選手,中学生,二年生,雷門中,闇の底から生まれた暗黒の戦士。その実力は圧倒的で　他の追随を許さない。,○,○,○,○,○,○,×,×,○,117,112,102,84,82,81,90,229,202,192,172,174,166,738
1051,多摩野 五郎,たまごろう,男,風,GK,選手,中学生,一年生,雷門中,小さい体に　謎のパワーを秘めている。マスコットのような存在感を持つ選手。,○,○,○,×,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1052,トン・ニーノ,トンニーノ,男,風,MF,選手,中学生,一年生,無所属,力強い唄とダンスでみんなを元気にする。しかし　涙もろくて男泣きをすることも。,○,○,○,×,×,×,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
1056,サガミネーター,サガミネタ,男,林,FW,選手,中学生,三年生,無所属,勝負事にはめっぽう厳しい　鉄の男。黒く光るサングラスが　トレードマークだ。,○,○,○,×,○,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
1057,ゴルレオ,ゴルレオ,男,林,GK,選手,中学生,三年生,ジェミニストーム,隕石さえも受け止めてみせると豪語する体格も発言もダイナミックなキーパーだ。,×,○,○,×,×,○,×,×,○,83,90,84,91,99,104,90,173,180,174,189,181,190,895
1058,コラル,コラル,男,風,DF,選手,中学生,一年生,ジェミニストーム,表情が全く読み取ることができないので行動を予測できない。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1059,ギグ,ギグ,男,火,DF,選手,中学生,一年生,ジェミニストーム,常に何かに対して怒っておりその怒りをエネルギーに変えている。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1060,ガニメデ,ガニメデ,男,山,DF,選手,中学生,二年生,ジェミニストーム,昔は１０００年に１人の美少年だったという。誰一人として　そのことを信じる者はいない。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1061,カロン,カロン,男,火,DF,選手,中学生,二年生,ジェミニストーム,相手チームを　地獄のような目にあわせてやる気をなくさせる。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1062,パンドラ,パンドラ,女,風,MF,選手,中学生,二年生,ジェミニストーム,関わる者に災いをもたらすという怪しいウワサがある。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1063,グリンゴ,グリンゴ,男,山,MF,選手,中学生,一年生,ジェミニストーム,他人と絶対に打ち解けようとしないので仲間からも嫌われている。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1064,イオ,イオ,男,火,MF,選手,中学生,一年生,ジェミニストーム,どう猛な動物や毒蛇は恐くないのになぜかアブだけが苦手。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1065,リーム,リーム,女,林,FW,選手,中学生,二年生,ジェミニストーム,非常に残忍な性格で　相手に隙が生まれるとここぞとばかりに徹底的に攻撃を仕掛ける。,×,○,○,×,×,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1066,レーゼ,レーゼ,男,林,MF,選手,中学生,二年生,ジェミニストーム,負けた者は生きる資格がないと考える冷酷な戦士。,×,○,○,○,○,○,×,×,○,100,108,105,88,88,81,97,208,205,202,185,185,176,764
1067,ディアム,ディアム,男,林,FW,選手,中学生,二年生,ジェミニストーム,自分を驚かせてくれるような強い敵を求めている。,×,○,○,×,×,×,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
1068,デザーム,デザーム,男,火,GK,選手,中学生,三年生,イプシロン,全て計算通りに事が運ばないと気に入らない。,×,○,○,○,○,○,×,×,○,86,94,88,95,102,107,93,180,187,181,195,188,197,924
1069,ケンビル,ケンビル,男,火,DF,選手,中学生,二年生,イプシロン,強い者にはヘコヘコするが弱い相手には威張り散らす。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1070,モール,モール,女,林,DF,選手,中学生,一年生,イプシロン,薄い空気のボンベをつけて肺の力をアップさせている。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1071,ケイソン,ケイソン,男,風,DF,選手,中学生,二年生,イプシロン,物事を何でも疑ってしまうひねくれ者。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1072,タイタン,タイタン,男,山,DF,選手,中学生,三年生,イプシロン,大きな体を持て余し目の前のものを　みんな壊してしまう。,×,○,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
1073,ファドラ,ファドラ,男,火,MF,選手,中学生,二年生,イプシロン,暴れることさえできればサッカーでも何でもいいという危険な選手。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1074,クリプト,クリプト,女,風,MF,選手,中学生,二年生,イプシロン,常に相手の死角に回り込み思わぬ方向から攻撃する。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1075,スオーム,スオーム,男,林,MF,選手,中学生,一年生,イプシロン,植物と会話ができるがメンバーの話には聞く耳持たない。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1076,マキュア,マキュア,女,風,FW,選手,中学生,二年生,イプシロン,かわいらしいルックスとは正反対の性格で自分の思い通りにならないとすぐにキレる。,×,○,○,×,×,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
1077,メトロン,メトロン,男,風,FW,選手,中学生,二年生,イプシロン,相手を誘い込むフェイントが上手く実力を持つ者ほど　引っかかってしまう。,×,○,○,×,×,×,×,×,○,107,104,95,84,82,78,93,211,197,188,175,177,166,726
1078,ゼル,ゼル,男,風,FW,選手,中学生,二年生,イプシロン,自分の力に絶対の自信を持ちうまくいかないと周りのせいにする。,×,○,○,×,×,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
1090,グレント,グレント,男,火,GK,選手,中学生,二年生,プロミネンス/カオス,その凶悪な思考を相手に悟られないよういつもマスクを着けて戦っているという。,×,○,○,○,○,○,×,×,○,83,90,84,91,99,104,90,173,180,174,189,181,190,895
1092,バーラ,バーラ,女,林,DF,選手,中学生,二年生,プロミネンス/カオス,かわいいものが大好きで　欲しいものはどんな手を使ってでも手に入れようとする。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1094,バクレー,バクレー,男,火,DF,選手,中学生,一年生,プロミネンス,陽気な性格だが　そのサングラスの奥の目は笑っていないとか…。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1095,サトス,サトス,男,林,DF,選手,中学生,三年生,プロミネンス,常に先を考える頭脳派。考えすぎて胃が痛いらしい。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1096,ボンバ,ボンバ,男,火,MF,選手,中学生,二年生,プロミネンス/カオス,炎のような熱気を放つプレイヤー。カチューシャに　並々ならぬこだわりがある。,×,○,○,○,○,○,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
1098,ヒート,ヒート,男,林,MF,選手,中学生,二年生,プロミネンス/カオス,バーンとは幼馴染み。昔は病弱だったが　特訓で克服したという。,×,○,○,○,○,○,×,×,○,97,112,112,84,82,81,100,209,212,212,182,184,166,738
1100,レアン,レアン,女,火,MF,選手,中学生,二年生,プロミネンス,自分より強いヤツは許さない！夢は宇宙一のサッカー選手。,×,○,○,○,○,○,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1101,ボニトナ,ボニトナ,女,林,MF,選手,中学生,三年生,プロミネンス,あまりにもセクシーな見た目に翻弄されて痛い目を見る者が後を絶たないという。,×,○,○,○,○,○,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1102,サイデン,サイデン,男,火,FW,選手,中学生,三年生,プロミネンス,鋭い目つきで相手を怯ませる。筋トレは毎日　欠かさないらしい。,×,○,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
1103,バーン,バーン,男,火,FW,選手,中学生,二年生,プロミネンス/カオス,血の気が多く攻撃的なストライカー。灼熱のシュートは　全てを焦がして突き進む。,×,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
1105,ネッパー,ネッパー,男,林,FW,選手,中学生,二年生,プロミネンス/カオス,暗い瞳をした少年。その心の奥は誰にも分からない。,×,○,○,○,○,○,×,×,○,114,108,98,81,78,78,86,222,194,184,164,167,159,708
1107,ベルガ,ベルガ,男,山,GK,選手,中学生,三年生,ダイヤモンドダスト,見た目はクールだが　ハートはホット。彼の生い立ちは　すべて謎に包まれている。,×,○,○,○,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1108,アイキュー,アイキュー,男,風,DF,選手,中学生,二年生,ダイヤモンドダスト,寝ても覚めても　ずっと勉強ひとすじ。彼のＩＱは　１０００を超えるという噂。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1109,クララ,クララ,女,風,DF,選手,中学生,二年生,ダイヤモンドダスト/カオス,はかなげな笑顔で冷たい言葉を放つ。そこがイイという声も多いとか。,×,○,○,○,○,○,×,×,○,83,86,88,95,99,85,107,169,193,195,206,202,194,827
1111,ゴッカ,ゴッカ,男,山,DF,選手,中学生,二年生,ダイヤモンドダスト/カオス,極悪な戦法で戦う力士系プレイヤー。相手をガツンと押し出してボールを奪う。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1113,アイシー,アイシー,女,風,MF,選手,中学生,一年生,ダイヤモンドダスト,アイキューの妹。兄の計算を元に正確なプレイをする。,×,○,○,○,○,○,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
1114,バレン,バレン,男,山,MF,選手,中学生,一年生,ダイヤモンドダスト,かわいい顔がコンプレックスでマスクとメイクで怖さを演出している。,×,○,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
1115,ドロル,ドロル,男,風,MF,選手,中学生,二年生,ダイヤモンドダスト/カオス,考えていることが　すぐ顔に出るので常に仮面をかぶって日常生活を送っている。,×,○,○,○,○,○,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
1117,リオーネ,リオーネ,女,風,MF,選手,中学生,二年生,ダイヤモンドダスト/カオス,自分のペースを乱す者は許さないタイプ。仮面の下の素顔は　意外とかわいいらしい。,×,○,○,○,○,○,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
1119,ブロウ,ブロウ,男,風,FW,選手,中学生,三年生,ダイヤモンドダスト,常に相手の先を読み行動してくる油断ならない選手。,×,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
1120,ガゼル,ガゼル,男,風,FW,選手,中学生,二年生,ダイヤモンドダスト/カオス,静かさと冷徹さを持つ選手。そのプレイは敵を凍てつかせる。,×,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
1122,フロスト,フロスト,男,山,FW,選手,中学生,二年生,ダイヤモンドダスト,氷のように冷たい心を持つためチームのみんなからも恐れられている。,×,○,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
1123,ネロ,ネロ,男,風,GK,選手,中学生,一年生,ザ・ジェネシス,恐るべきジャンプ力であらゆるシュートに跳びつくことができる。,×,○,○,○,○,○,×,×,○,83,90,84,95,99,101,90,173,180,174,189,185,194,891
1124,ゲイル,ゲイル,男,風,DF,選手,中学生,二年生,ザ・ジェネシス,突き刺すような視線で相手の動きを　じっと観察している。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1125,キーブ,キーブ,女,火,DF,選手,中学生,二年生,ザ・ジェネシス,踊りのような不思議な動きで相手を混乱させる。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1126,ゾーハン,ゾーハン,男,山,DF,選手,中学生,二年生,ザ・ジェネシス,格闘技で鍛え上げた体でゴールの前に立ちふさがる。,×,○,○,○,○,○,×,×,○,79,83,81,98,102,85,114,162,197,195,216,212,200,842
1127,ハウザー,ハウザー,男,山,DF,選手,中学生,二年生,ザ・ジェネシス,体の弾力を利用して思わぬ方向からチャージをかける。,×,○,○,○,○,○,×,×,○,83,86,88,95,99,85,107,169,193,195,206,202,194,827
1128,コーマ,コーマ,男,火,MF,選手,中学生,二年生,ザ・ジェネシス,何重ものトラップを仕掛けて相手のミスを誘う。,×,○,○,○,○,○,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
1129,クィール,クィール,女,林,MF,選手,中学生,一年生,ザ・ジェネシス,ぼーっとしているようだがその動きは誰も予測できない。,×,○,○,○,○,○,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
1130,アーク,アーク,男,林,MF,選手,中学生,二年生,ザ・ジェネシス,一瞬で　ボールが通るルートを見抜くことができる。,×,○,○,○,○,○,×,×,○,93,108,109,81,78,78,97,201,205,206,175,178,159,708
1131,ウィーズ,ウィーズ,男,林,FW,選手,中学生,二年生,ザ・ジェネシス,シュートに見せかけて相手をボールで吹き飛ばす　危険なヤツ。,×,○,○,○,○,○,×,×,○,107,104,95,84,82,78,93,211,197,188,175,177,166,726
1132,ウルビダ,ウルビダ,女,風,MF,選手,中学生,二年生,ザ・ジェネシス,常に冷静な判断ができる戦士。感情に動かされることはない。,×,○,○,○,○,○,×,×,○,97,112,112,84,82,81,100,209,212,212,182,184,166,738
1133,グラン,グラン,男,火,FW,選手,中学生,二年生,ザ・ジェネシス,『ジェネシス計画』が生んだ最強の戦士。そのシュートは　まるで彗星のごとし。,×,○,○,○,○,○,×,×,○,121,115,105,88,85,85,93,236,208,198,178,181,173,771
1135,鉄壁 堅,鉄壁,男,山,GK,選手,大人,-,ＳＰフィクサーズ,彼の前での犯罪は不可能といわれた鉄壁のＳＰ。,×,○,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
1136,五洋 武,五洋,男,風,DF,選手,大人,-,ＳＰフィクサーズ,江戸時代の十手持ちの家系。犯人に食らいついたら離れない。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1137,疾風 隼人,疾風,男,風,DF,選手,大人,-,ＳＰフィクサーズ,犯人を追いかけるスピードでは彼の右に出る者はいない。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1138,桜 多聞,桜,男,林,DF,選手,大人,-,ＳＰフィクサーズ,日本の平和のためならどんな苦労もいとわない正義のＳＰ。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1139,角巣 英二,スミス,男,林,DF,選手,大人,-,ＳＰフィクサーズ,彼が狙った相手は　どこまで逃げてもしっかりとマークされたまま。,×,○,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
1140,極火 務,極火,男,風,MF,選手,大人,-,ＳＰフィクサーズ,どんな難しい任務でも誰も知らないうちに　こなしてしまう。,×,○,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
1141,館野 舞,舞,女,風,MF,選手,大人,-,ＳＰフィクサーズ,護身術の天才と呼ばれている警備隊員。どんな攻撃でも　華麗に受け流してしまう。,×,○,○,×,×,○,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
